enroll_code,uni_code,uni_name,major_code,major_name,study_program,enroll_type,enroll_type_name,subject_combination,tuition_fee,province,uni_type,uni_web_link
GTS748020101A?GNL,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,?GNL,S? d?ng ?i?m thi ?ánh giá N?ng l?c/?ánh giá T? duy do các ??n v? t? ch?c,VNUHCM,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS758030101A?GNL,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7580301,Kinh t? xây d?ng,??i trà,?GNL,S? d?ng ?i?m thi ?ánh giá N?ng l?c/?ánh giá T? duy do các ??n v? t? ch?c,VNUHCM,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010101A?GNL,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840101,Khai thác v?n t?i,??i trà,?GNL,S? d?ng ?i?m thi ?ánh giá N?ng l?c/?ánh giá T? duy do các ??n v? t? ch?c,VNUHCM,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010401A?GNL,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840104,Kinh t? v?n t?i,??i trà,?GNL,S? d?ng ?i?m thi ?ánh giá N?ng l?c/?ánh giá T? duy do các ??n v? t? ch?c,VNUHCM,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A00,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D07,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS758030101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7580301,Kinh t? xây d?ng,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A00,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS758030101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7580301,Kinh t? xây d?ng,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS758030101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7580301,Kinh t? xây d?ng,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS758030101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7580301,Kinh t? xây d?ng,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D07,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840101,Khai thác v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A00,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840101,Khai thác v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840101,Khai thác v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010101ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840101,Khai thác v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D07,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010401ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840104,Kinh t? v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A00,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010401ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840104,Kinh t? v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010401ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840104,Kinh t? v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D01,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS784010401ATHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7840104,Kinh t? v?n t?i,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D07,29400000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101E?GNL,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,?GNL,S? d?ng ?i?m thi ?ánh giá N?ng l?c/?ánh giá T? duy do các ??n v? t? ch?c,VNUHCM,43310000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ETHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A00,43310000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ETHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,A01,43310000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ETHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D01,43310000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
GTS748020101ETHPTQG,GTS,TR??NG ??I H?C GIAO THÔNG V?N T?I TP. H? CHÍ MINH,7480201,Công ngh? thông tin,??i trà,THPTQG,S? d?ng ?i?m k? thi T?t nghi?p Trung h?c ph? thông qu?c gia,D07,43310000,TP. H? Chí Minh,Công l?p,https://ut.edu.vn/
