uni_type_label,province,subject_combination,score,tuition_fee,certification_name,certification_score,certification_score_equivalence,conduct_grade_10,conduct_grade_11,conduct_grade_12,academic_performance_grade_10,academic_performance_grade_11,academic_performance_grade_12,major_code,admission_code,y_base,score_final,is_base_row
1,An Giang,VNUHCM,617,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140201ĐGNL,617,617,TRUE
1,An Giang,VNUHCM,635,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140205ĐGNL,635,635,TRUE
1,An Giang,VNUHCM,614,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140202ĐGNL,614,614,TRUE
1,An Giang,VNUHCM,831,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140209ĐGNL,831,831,TRUE
1,An Giang,VNUHCM,688,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140211ĐGNL,688,688,TRUE
1,An Giang,VNUHCM,717,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140212ĐGNL,717,717,TRUE
1,An Giang,VNUHCM,636,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140217ĐGNL,636,636,TRUE
1,An Giang,VNUHCM,633,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140218ĐGNL,633,633,TRUE
1,An Giang,VNUHCM,664,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140219ĐGNL,664,664,TRUE
1,An Giang,VNUHCM,677,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140231ĐGNL,677,677,TRUE
1,An Giang,VNUHCM,623,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140213ĐGNL,623,623,TRUE
1,An Giang,VNUHCM,661,14100000,0,0,0,10,10,10,10,10,10,714,QSA7140247ĐGNL,661,661,TRUE
1,An Giang,VNUHCM,612,14100000,0,0,0,10,10,10,10,10,10,734,QSA7340101ĐGNL,612,612,TRUE
1,An Giang,VNUHCM,611,14100000,0,0,0,10,10,10,10,10,10,734,QSA7340115ĐGNL,611,611,TRUE
1,An Giang,VNUHCM,623,14100000,0,0,0,10,10,10,10,10,10,734,QSA7340201ĐGNL,623,623,TRUE
1,An Giang,VNUHCM,614,14100000,0,0,0,10,10,10,10,10,10,734,QSA7340301ĐGNL,614,614,TRUE
1,An Giang,VNUHCM,605,14100000,0,0,0,10,10,10,10,10,10,738,QSA7380101ĐGNL,605,605,TRUE
1,An Giang,VNUHCM,619,15200000,0,0,0,10,10,10,10,10,10,742,QSA7420201ĐGNL,619,619,TRUE
1,An Giang,VNUHCM,645,16400000,0,0,0,10,10,10,10,10,10,748,QSA7480103ĐGNL,645,645,TRUE
1,An Giang,VNUHCM,610,16400000,0,0,0,10,10,10,10,10,10,748,QSA7480201ĐGNL,610,610,TRUE
1,An Giang,VNUHCM,714,16400000,0,0,0,10,10,10,10,10,10,751,QSA7510406ĐGNL,714,714,TRUE
1,An Giang,VNUHCM,615,16400000,0,0,0,10,10,10,10,10,10,751,QSA7510401ĐGNL,615,615,TRUE
1,An Giang,VNUHCM,616,16400000,0,0,0,10,10,10,10,10,10,754,QSA7540101ĐGNL,616,616,TRUE
1,An Giang,VNUHCM,600,16400000,0,0,0,10,10,10,10,10,10,754,QSA7540104ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,600,16400000,0,0,0,10,10,10,10,10,10,754,QSA7540106ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,600,16400000,0,0,0,10,10,10,10,10,10,762,QSA7620105ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,600,16400000,0,0,0,10,10,10,10,10,10,762,QSA7620110ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,617,16400000,0,0,0,10,10,10,10,10,10,762,QSA7620112ĐGNL,617,617,TRUE
1,An Giang,VNUHCM,600,16400000,0,0,0,10,10,10,10,10,10,762,QSA7620116ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,630,16400000,0,0,0,10,10,10,10,10,10,762,QSA7620301ĐGNL,630,630,TRUE
1,An Giang,VNUHCM,636,15000000,0,0,0,10,10,10,10,10,10,731,QSA7310106ĐGNL,636,636,TRUE
1,An Giang,VNUHCM,611,15000000,0,0,0,10,10,10,10,10,10,731,QSA7310630ĐGNL,611,611,TRUE
1,An Giang,VNUHCM,627,15000000,0,0,0,10,10,10,10,10,10,722,QSA7220201ĐGNL,627,627,TRUE
1,An Giang,VNUHCM,681,15000000,0,0,0,10,10,10,10,10,10,722,QSA7229030ĐGNL,681,681,TRUE
1,An Giang,VNUHCM,757,15000000,0,0,0,10,10,10,10,10,10,722,QSA7229001ĐGNL,757,757,TRUE
1,An Giang,VNUHCM,600,15000000,0,0,0,10,10,10,10,10,10,785,QSA7850101ĐGNL,600,600,TRUE
1,An Giang,VNUHCM,621,15000000,0,0,0,10,10,10,10,10,10,764,QSA7640101ĐGNL,621,621,TRUE
1,An Giang,M00,"22,79",14100000,0,0,0,10,10,10,10,10,10,714,QSA7140201THPTQG,"22,79","22,79",TRUE
1,An Giang,M01,"22,79",14100000,0,0,0,10,10,10,10,10,10,714,QSA7140201THPTQG,"22,79","22,79",TRUE
