admission_code,uni_code,uni_name,major_code,major_name,study_program,admission_type,admission_type_name,subject_combination,tuition_fee,province,uni_type,uni_web_link
QSA-7140201-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140201,Giáo dục Mầm non,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140205-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140205,Giáo dục Chính trị,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140202-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140202,Giáo dục Tiểu học,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140209-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140209,Sư phạm Toán học,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140211-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140211,Sư phạm Vật lý,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140212-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140212,Sư phạm Hóa học,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140217-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140217,Sư phạm Ngữ văn,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140218-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140218,Sư phạm Lịch sử,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140219-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140219,Sư phạm Địa lý,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140231-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140231,Sư phạm Tiếng Anh,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140213-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140213,Sư phạm Sinh học,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7140247-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7140247,Sư phạm Khoa học tự nhiên,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7340101-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7340101,Quản trị kinh doanh,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7340115-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7340115,Marketing,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7340201-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7340201,Tài chính - Ngân hàng,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7340301-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7340301,Kế toán,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7380101-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7380101,Luật,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,14100000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7420201-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7420201,Công nghệ sinh học,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,15200000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7480103-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7480103,Kỹ thuật phần mềm,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,16400000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7480201-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7480201,Công nghệ thông tin,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,16400000,An Giang,Công lập,https://www.agu.edu.vn/
QSA-7510406-TUYỂN THẲNG,QSA,TRƯỜNG ĐẠI HỌC AN GIANG - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,7510406,Công nghệ kỹ thuật môi trường,Đại trà,UTXT,Sử dụng phương thức tuyển thẳng,UTXT,16400000,An Giang,Công lập,https://www.agu.edu.vn/
